# tipo,u,v,peso
D,10,13,18
D,24,25,10
D,3,8,15
D,7,12,6
D,26,21,4
D,1,11,9
D,10,26,19
D,15,2,18
D,19,25,7
D,1,2,18
D,10,28,18
D,5,20,10
D,10,1,1
D,27,29,19
D,4,8,20
D,20,3,17
D,23,28,3
D,1,8,16
D,1,10,14
D,20,8,16
D,6,19,6
D,12,1,18
D,29,15,18
D,5,22,6
D,17,15,11
D,7,0,15
D,6,5,8
D,27,23,5
D,15,22,13
D,6,16,20
D,13,28,12
D,15,27,7
D,12,26,17
D,27,28,16
D,25,27,9
D,7,11,3
D,28,15,2
D,16,3,6
D,0,12,14
D,5,4,16
D,8,17,19
D,29,17,15
D,17,11,10
D,25,13,6
D,11,5,4
D,24,7,2
D,6,14,12
D,6,3,10
D,1,26,13
D,6,9,3
D,9,23,18
D,3,20,12
D,18,22,2
D,15,29,10
D,2,7,11
D,13,12,4
D,7,22,6
D,8,14,12
D,25,1,12
U,18,27,8
U,17,24,9
U,19,3,9
U,6,26,13
U,13,21,18
U,29,21,1
U,29,2,1
U,28,27,1
U,16,22,7
U,6,17,6
U,3,24,15
U,0,15,16
U,25,20,11
U,21,20,19
U,0,22,13
U,23,21,1
U,1,14,14
U,15,17,1
U,25,22,19
U,13,6,17
U,1,24,20
U,9,3,10
U,19,6,12
U,25,17,16
U,29,4,4
U,5,9,16
U,24,28,4
U,11,22,16
U,5,6,11
U,7,4,14
U,1,19,11
U,12,14,10
U,16,18,1
U,21,10,7
U,28,0,18
U,21,15,4
U,13,7,13
U,18,13,13
U,2,20,3
U,24,4,2
U,2,9,3
U,19,1,2
U,29,0,3
U,28,29,8
U,9,24,11
U,27,17,4
U,0,16,19
