# tipo,u,v,peso
D,15,13,11
D,12,17,14
D,1,14,5
D,11,19,14
D,0,4,5
D,15,1,11
D,9,11,6
D,13,5,10
D,18,10,4
D,18,8,14
D,9,8,3
D,9,7,4
D,17,6,13
D,11,17,13
D,5,6,15
D,9,13,7
D,19,2,6
D,3,16,3
D,13,5,8
D,5,9,16
D,4,3,9
D,16,3,2
D,1,19,3
D,1,10,6
D,16,2,16
D,8,10,8
D,18,1,8
D,18,2,18
D,9,6,6
D,18,11,10
D,7,5,6
U,1,11,6
U,3,14,15
U,2,5,20
U,14,2,18
U,6,10,7
U,7,17,14
U,1,8,7
U,7,5,2
U,5,18,4
U,3,2,14
U,17,12,14
U,19,16,3
U,11,6,14
U,19,2,3
U,11,6,8
U,6,7,10
U,2,10,7
U,5,3,11
U,13,2,8
U,8,4,5
U,17,2,6
U,13,8,18
U,0,8,18
U,1,12,7
U,13,16,8
U,5,4,10
U,9,0,13
U,18,19,13
U,13,11,18
U,0,14,6
