# tipo,u,v,peso
D,16,15,6
D,14,6,5
D,8,10,9
D,16,19,16
D,29,21,6
D,18,7,9
D,12,22,17
D,4,29,4
D,17,3,4
D,14,6,5
D,5,0,9
D,11,3,15
D,21,15,4
D,27,24,8
D,28,0,19
D,12,20,2
D,20,16,20
D,23,28,7
D,17,23,15
D,22,21,18
D,8,15,1
D,24,9,3
D,10,8,12
D,7,24,7
D,22,20,11
D,10,7,8
D,1,13,8
D,6,23,20
D,14,0,5
D,16,3,10
D,0,12,13
D,12,13,19
D,16,29,17
D,13,7,12
D,18,0,17
D,9,24,13
U,16,25,16
U,20,11,15
U,8,3,19
U,3,26,3
U,26,14,4
U,9,16,6
U,0,26,11
U,2,12,15
U,12,1,4
U,8,28,16
U,4,13,2
U,13,10,13
U,13,21,14
U,27,6,20
U,0,23,15
U,9,24,12
U,1,7,2
U,17,27,10
U,5,8,11
U,26,22,18
U,4,5,11
U,0,20,10
U,4,27,9
U,20,19,1
U,16,6,18
U,15,2,4
U,19,29,4
U,25,5,3
U,12,26,8
U,14,10,14
U,27,17,2
U,23,17,14
U,18,1,16
U,0,24,15
U,5,3,5
U,24,0,17
U,12,4,15
U,22,1,3
U,26,22,10
U,3,22,3
U,15,20,1
U,11,13,5
U,23,4,4
U,8,10,10
U,26,20,17
U,11,7,2
U,16,17,19
U,28,24,2
U,26,8,20
U,11,15,12
U,10,23,16
U,10,5,12
U,15,13,15
U,0,8,1
U,0,4,12
