# tipo,u,v,peso
D,9,18,14
D,1,10,19
D,25,14,15
D,3,21,2
D,6,9,12
D,2,10,1
D,7,14,7
D,14,26,18
D,23,16,13
D,3,15,2
D,25,22,18
D,21,13,16
D,14,17,2
D,19,11,14
D,21,20,16
D,25,15,9
D,11,17,9
D,4,22,3
D,14,4,19
D,0,28,15
D,29,13,8
D,22,9,9
D,13,5,13
D,22,1,8
D,24,3,20
D,29,6,14
D,24,25,5
D,0,17,6
D,10,14,3
D,28,4,13
D,17,24,3
D,9,18,16
D,27,29,6
D,14,10,19
D,22,23,9
D,18,15,4
D,21,14,12
D,10,27,20
D,23,5,1
D,18,11,8
D,17,9,12
D,7,6,14
D,27,17,6
D,3,22,13
D,0,20,15
D,15,11,16
D,15,14,14
D,2,9,5
D,8,4,6
D,10,20,13
D,6,25,11
D,4,17,5
D,24,18,12
D,14,26,8
D,12,15,18
D,24,16,18
D,26,14,3
D,17,5,11
U,11,3,9
U,8,1,5
U,12,17,11
U,16,27,8
U,24,3,17
U,17,20,14
U,13,19,19
U,11,29,2
U,7,2,1
U,14,3,10
U,7,13,13
U,3,26,15
U,26,0,7
U,20,29,7
U,0,2,19
U,22,10,10
U,15,19,13
U,6,23,11
U,29,18,19
U,15,5,6
U,23,10,8
U,25,6,8
U,2,11,1
U,22,28,18
U,14,10,10
U,3,8,14
U,1,5,12
U,11,25,13
U,12,14,10
U,23,14,20
U,0,13,15
U,5,8,12
U,1,17,9
U,16,4,8
U,8,16,12
U,2,0,18
U,22,8,16
U,4,21,2
U,13,2,10
