# tipo,u,v,peso
D,29,2,14
D,20,24,2
D,9,20,1
D,13,27,17
D,26,18,3
D,8,23,2
D,4,18,8
D,18,21,5
D,12,10,15
D,19,7,7
D,5,22,2
D,18,14,14
D,19,5,5
D,2,29,8
D,9,4,12
D,6,28,4
D,8,4,11
D,15,5,14
D,18,13,2
D,7,24,14
D,27,23,4
D,5,25,10
D,28,12,8
D,25,3,5
D,25,3,15
D,7,11,5
D,22,16,19
D,7,29,9
D,9,20,8
D,13,6,7
D,8,24,2
U,16,21,2
U,25,9,19
U,16,12,15
U,5,0,12
U,18,15,11
U,22,5,3
U,20,2,14
U,1,13,19
U,18,8,13
U,27,9,5
U,17,9,3
U,4,13,16
U,20,19,10
U,20,6,13
U,16,28,3
U,29,13,8
U,10,20,8
U,19,10,16
U,18,1,10
U,11,16,9
U,10,20,10
U,28,25,15
U,22,13,14
U,10,6,13
U,21,7,3
U,9,27,12
U,18,2,7
U,9,27,5
U,11,26,7
U,19,20,2
U,23,14,18
U,15,5,19
U,2,12,5
U,28,13,14
U,26,20,18
U,3,2,20
U,27,21,12
U,26,14,17
U,12,5,12
U,14,21,19
U,10,4,8
U,8,20,4
U,15,5,11
U,10,23,8
U,20,3,13
U,19,9,7
U,16,27,11
U,3,2,3
U,2,12,13
U,19,1,19
U,3,15,8
U,26,1,13
U,21,10,6
U,9,5,7
U,23,19,8
