# tipo,u,v,peso
D,4,15,7
D,3,8,8
D,15,14,16
D,8,6,16
D,0,7,11
D,18,13,9
D,11,0,2
D,19,0,1
D,1,6,13
D,4,11,7
D,8,9,5
D,4,11,20
D,7,15,18
D,12,4,4
D,10,1,13
D,19,16,1
D,14,8,15
D,2,14,8
D,14,15,2
D,6,3,17
D,18,4,2
D,12,5,17
D,1,3,7
D,18,17,11
D,14,5,9
U,18,15,8
U,9,0,10
U,10,2,11
U,10,8,6
U,15,17,17
U,18,12,10
U,3,2,8
U,3,12,4
U,2,10,17
U,6,5,11
U,10,14,19
U,7,18,7
U,0,9,3
U,17,8,10
U,7,6,15
U,9,8,1
U,2,0,16
U,9,18,5
U,16,10,9
U,5,1,6
U,11,0,10
U,12,18,8
U,2,8,15
U,2,8,3
U,17,2,2
U,3,15,18
U,16,12,6
U,15,6,4
U,1,5,4
U,6,12,11
U,9,13,14
U,3,1,1
U,16,10,1
U,15,10,16
U,11,2,19
