# tipo,u,v,peso
D,3,1,19
D,15,17,6
D,17,18,1
D,15,3,20
D,4,16,3
D,3,10,16
D,0,5,11
D,5,3,11
D,19,15,9
D,6,5,16
D,4,1,8
D,2,8,17
D,13,4,13
D,2,11,5
D,4,7,20
D,12,14,19
D,4,18,13
D,7,1,6
D,9,17,20
D,14,7,13
D,13,18,19
D,2,4,8
D,0,5,1
D,9,11,20
D,1,9,15
D,9,1,4
D,1,5,12
D,18,1,2
D,15,19,14
D,8,3,11
D,4,5,8
U,14,12,10
U,6,2,5
U,0,4,2
U,19,8,1
U,5,3,10
U,11,14,11
U,13,10,17
U,2,14,4
U,4,16,3
U,9,15,15
U,7,14,10
U,5,6,17
U,18,11,20
U,13,11,14
U,17,8,17
U,8,9,3
U,1,10,2
U,17,3,10
U,16,6,4
U,4,12,6
U,7,11,10
U,6,12,12
U,9,18,4
U,14,6,12
U,1,4,4
U,5,16,13
U,12,4,12
U,15,0,4
U,10,1,20
U,10,18,18
U,12,3,11
U,19,17,5
U,15,18,17
U,13,6,13
U,7,0,15
U,3,19,15
U,19,3,2
U,3,5,5
U,8,17,19
U,7,9,11
