# tipo,u,v,peso
D,9,6,3
D,3,13,12
D,11,19,6
D,19,13,12
D,0,9,4
D,6,12,17
D,4,1,5
D,5,19,18
D,4,15,4
D,1,19,9
D,3,9,2
D,8,6,11
D,4,9,1
D,0,15,14
D,13,1,1
D,10,0,3
D,5,15,18
D,5,4,14
D,2,12,5
D,4,15,1
D,11,15,14
D,3,7,4
D,18,10,5
U,4,3,16
U,2,4,5
U,19,4,16
U,2,4,6
U,18,3,19
U,10,17,4
U,8,6,19
U,18,19,3
U,17,9,16
U,19,0,13
U,5,2,14
U,11,16,1
U,0,17,10
U,3,18,12
U,2,9,8
U,16,5,7
U,1,3,7
U,7,10,7
U,6,3,5
U,10,11,9
U,19,13,7
U,1,7,12
U,9,11,7
U,6,0,6
U,16,17,4
U,10,16,15
U,14,9,5
U,14,1,9
U,18,19,5
U,3,19,14
U,19,9,17
U,2,12,18
U,4,15,4
U,7,9,14
U,13,3,15
U,16,19,11
U,15,7,3
U,13,6,7
U,17,4,11
U,17,9,14
