# tipo,u,v,peso
D,28,18,9
D,10,25,17
D,13,4,10
D,29,18,2
D,25,4,6
D,10,11,13
D,0,21,13
D,28,20,4
D,5,13,1
D,23,1,14
D,19,12,7
D,16,26,14
D,10,6,4
D,9,25,14
D,23,8,20
D,0,22,8
D,16,3,3
D,13,25,1
D,24,20,6
D,26,21,7
D,6,23,4
D,12,16,14
D,12,19,4
D,21,3,3
D,26,2,19
D,19,27,15
D,19,25,10
D,20,12,8
D,22,25,12
D,16,15,11
D,22,27,8
D,0,4,5
U,16,13,15
U,28,16,12
U,15,25,5
U,11,29,17
U,2,23,9
U,22,9,18
U,18,6,2
U,27,24,14
U,1,11,15
U,10,19,1
U,5,16,3
U,7,15,3
U,12,28,11
U,3,18,11
U,1,17,17
U,2,10,9
U,11,13,2
U,26,18,8
U,0,21,5
U,17,23,10
U,1,19,18
U,12,8,9
U,17,14,18
U,23,25,18
U,29,7,2
U,26,4,11
U,10,28,15
U,0,14,9
U,15,0,13
U,6,11,17
U,7,8,6
U,20,27,2
U,20,7,12
U,22,7,9
U,21,24,16
U,28,1,7
U,4,3,8
U,1,3,7
U,16,14,14
U,27,3,11
U,17,5,11
U,0,17,15
U,4,27,20
U,13,12,19
U,14,16,20
U,1,13,2
U,23,16,10
U,3,15,20
U,4,21,3
U,13,0,18
U,13,23,1
U,22,7,13
U,3,10,19
U,12,6,14
