# tipo,u,v,peso
D,13,7,15
D,2,5,3
D,2,9,8
D,15,11,3
D,11,16,2
D,17,4,14
D,4,18,17
D,1,9,8
D,2,4,1
D,19,16,10
D,15,9,11
D,7,3,18
D,16,2,18
D,3,19,14
D,13,5,19
D,16,5,4
D,14,12,9
D,4,11,10
D,12,10,12
D,0,13,17
D,16,0,2
D,1,0,2
D,11,19,5
D,1,7,3
D,5,9,3
D,2,19,9
D,7,18,10
D,17,4,17
D,13,15,7
D,10,9,7
D,4,18,9
D,14,19,3
D,3,8,19
U,12,6,2
U,12,5,8
U,18,3,9
U,6,2,19
U,2,0,4
U,3,0,6
U,13,6,16
U,5,6,1
U,9,13,3
U,13,6,1
U,7,8,19
U,15,4,11
U,10,16,15
U,14,16,8
U,11,15,15
U,4,5,7
U,8,9,12
U,17,15,16
U,17,10,10
U,15,7,5
U,9,2,12
U,11,6,4
U,0,18,2
U,19,0,2
U,8,3,17
U,16,19,7
U,14,10,18
U,11,17,5
