# tipo,u,v,peso
D,6,5,2
D,11,16,4
D,13,4,11
D,23,25,17
D,0,3,14
D,21,28,4
D,25,23,14
D,1,16,7
D,27,9,16
D,19,26,13
D,2,12,4
D,19,24,17
D,16,5,12
D,16,6,1
D,7,25,8
D,23,2,19
D,6,1,19
D,16,20,1
D,18,1,15
D,19,29,19
D,6,10,16
D,10,6,17
D,4,16,7
D,1,16,13
D,19,3,19
D,20,17,14
D,24,15,4
D,21,6,7
D,12,3,10
D,14,28,1
D,20,9,18
D,5,15,20
D,17,2,20
D,9,16,9
D,2,27,7
D,23,24,5
D,14,12,1
D,2,29,18
D,8,1,20
D,16,27,2
D,21,13,12
D,25,12,9
D,16,13,18
D,11,4,18
D,14,8,3
D,2,20,17
D,11,4,5
D,27,20,3
D,26,28,1
D,10,7,10
D,25,9,18
D,14,1,12
D,11,21,19
D,27,8,19
D,15,26,8
U,6,23,6
U,8,25,2
U,6,18,11
U,29,27,15
U,27,1,20
U,23,14,17
U,20,11,20
U,23,21,5
U,3,8,1
U,27,5,16
U,10,2,9
U,12,21,4
U,8,5,3
U,20,8,10
U,0,7,13
U,16,13,1
U,23,6,10
U,22,18,1
U,12,4,1
U,25,17,16
U,11,10,1
U,28,24,20
U,9,8,7
U,18,10,18
U,4,26,12
U,20,16,2
U,16,5,10
U,20,7,10
U,24,23,12
U,18,25,4
U,19,12,3
U,7,29,2
U,5,20,6
U,16,21,2
U,25,19,15
U,13,23,6
U,6,17,16
U,0,15,8
U,22,6,15
U,4,1,2
U,4,14,9
U,17,15,18
U,11,24,8
U,28,10,10
U,17,28,13
