# tipo,u,v,peso
D,17,6,2
D,14,15,2
D,17,12,2
D,3,1,18
D,9,4,12
D,6,0,16
D,16,11,10
D,10,12,20
D,15,5,15
D,18,13,10
D,2,1,17
D,14,16,19
D,13,5,9
D,8,13,1
D,7,15,11
D,13,6,1
D,11,18,2
D,3,19,16
D,19,18,20
D,17,3,7
U,8,1,9
U,15,9,12
U,18,19,13
U,6,12,5
U,3,10,13
U,16,10,18
U,4,16,14
U,9,4,15
U,14,13,3
U,15,13,12
U,1,5,19
U,8,2,14
U,13,17,20
U,5,11,15
U,16,1,16
U,1,2,7
U,10,6,14
U,18,5,17
U,5,15,18
U,5,18,5
U,1,13,18
U,8,15,1
U,7,15,20
U,7,10,15
U,13,5,16
U,6,4,11
U,7,18,8
U,2,7,10
U,5,3,7
U,5,13,11
U,6,5,13
U,16,13,6
U,4,10,8
U,15,10,3
U,0,19,6
U,11,1,19
U,11,4,4
U,8,7,10
