# tipo,u,v,peso
D,25,10,16
D,8,26,9
D,27,25,2
D,24,7,15
D,8,12,3
D,7,21,12
D,27,26,6
D,16,2,2
D,5,12,17
D,22,26,19
D,9,1,14
D,8,3,5
D,23,25,19
D,7,9,15
D,9,25,9
D,10,1,20
D,12,6,4
D,23,16,16
D,10,29,5
D,23,10,13
D,3,6,16
D,24,23,5
D,7,3,7
D,15,2,10
D,25,9,17
D,3,1,17
D,6,8,8
D,27,21,18
D,17,3,14
D,25,23,13
D,19,26,4
D,27,0,7
D,6,2,13
D,19,7,20
D,23,7,4
D,22,25,12
D,11,6,18
D,25,7,4
D,20,24,5
D,24,23,7
D,20,19,8
D,24,19,16
D,0,12,8
D,9,12,18
D,17,3,16
D,21,29,12
D,4,0,17
D,28,23,5
D,0,1,1
D,20,15,12
D,4,23,7
D,24,13,6
D,17,10,14
D,3,19,11
D,1,7,3
D,9,22,2
D,13,11,15
D,2,15,6
D,7,5,9
U,9,13,19
U,17,16,11
U,22,19,15
U,17,25,16
U,29,26,3
U,25,21,3
U,22,16,18
U,13,26,3
U,15,6,14
U,22,27,6
U,23,10,5
U,0,8,18
U,21,15,15
U,28,13,14
U,12,6,15
U,19,23,12
U,9,0,4
U,2,28,19
U,25,18,1
U,6,13,3
U,10,25,19
U,11,14,19
U,7,17,4
U,14,6,1
U,21,17,7
U,22,13,6
U,23,9,9
U,23,11,8
U,17,4,12
U,1,21,19
U,23,24,1
U,7,18,2
U,21,19,20
U,13,0,10
U,29,1,19
U,3,15,5
U,29,9,8
U,22,2,12
U,9,26,13
U,26,7,18
U,21,22,19
U,15,7,13
U,1,29,3
U,12,21,4
