# tipo,u,v,peso
D,2,10,19
D,14,5,8
D,16,12,4
D,2,4,6
D,3,18,12
D,14,5,19
D,4,3,4
D,4,10,5
D,7,0,9
D,3,9,2
D,6,17,17
D,8,7,9
D,7,2,14
D,4,1,12
D,12,16,5
D,14,17,13
D,0,13,16
D,1,8,8
D,5,15,17
D,6,7,10
D,4,12,20
D,4,7,7
D,4,1,6
D,4,17,1
D,4,9,1
D,16,0,20
D,10,17,4
D,19,8,6
D,11,6,1
D,16,3,13
D,3,7,7
D,14,6,18
D,10,12,9
U,1,6,18
U,16,15,11
U,12,5,7
U,15,12,8
U,19,1,2
U,10,0,18
U,14,7,20
U,9,10,10
U,8,1,4
U,10,11,2
U,14,15,16
U,10,17,16
U,15,13,9
U,12,9,7
U,17,6,9
U,12,2,4
U,18,0,15
U,6,18,3
U,5,9,1
U,7,0,18
U,18,14,16
U,6,5,9
U,13,2,2
U,12,19,3
U,8,10,18
U,19,9,11
U,2,3,12
U,12,6,4
U,9,2,18
