# tipo,u,v,peso
D,2,29,4
D,23,3,3
D,22,11,19
D,7,20,19
D,10,3,3
D,18,15,15
D,21,26,1
D,25,21,11
D,3,24,3
D,28,27,12
D,10,12,17
D,0,19,17
D,20,29,2
D,10,0,7
D,6,2,2
D,13,25,12
D,25,14,18
D,19,24,7
D,11,8,1
D,4,0,11
D,28,9,7
D,20,22,1
D,16,13,4
D,10,23,18
D,5,17,12
D,15,18,19
D,18,24,7
D,12,29,2
D,11,5,2
D,25,23,17
D,9,25,2
D,5,19,1
D,0,21,9
D,17,13,5
D,7,13,11
D,28,18,7
D,17,0,5
D,4,29,20
D,19,25,15
D,1,27,12
D,15,21,3
D,0,21,5
D,12,28,5
D,11,14,11
D,7,17,16
D,3,18,16
U,12,3,3
U,16,28,2
U,17,15,10
U,4,21,4
U,28,13,19
U,0,24,6
U,7,1,14
U,4,25,12
U,7,1,10
U,0,3,7
U,6,12,20
U,28,14,13
U,0,20,9
U,4,7,8
U,21,22,9
U,16,13,5
U,20,18,7
U,23,5,16
U,11,21,2
U,18,21,1
U,2,24,6
U,28,5,2
U,6,28,1
U,24,25,13
U,20,1,4
U,9,5,17
U,11,3,15
U,16,6,3
U,3,22,16
U,10,19,14
U,27,20,2
U,25,24,18
U,17,24,3
U,22,21,5
U,20,26,2
U,6,1,12
