# tipo,u,v,peso
D,24,23,5
D,17,25,2
D,18,10,6
D,22,12,12
D,14,15,19
D,1,23,12
D,25,21,3
D,29,10,19
D,7,21,13
D,18,19,5
D,18,16,15
D,1,2,4
D,11,20,17
D,27,21,8
D,4,11,11
D,23,10,1
D,19,23,7
D,2,9,17
D,12,2,13
D,24,28,14
D,13,21,8
D,23,2,2
D,24,5,5
D,12,15,20
D,19,11,13
D,23,14,6
D,27,24,18
D,24,0,5
D,22,11,2
D,18,11,3
D,8,17,16
D,8,13,17
D,12,24,14
D,1,5,6
D,2,28,15
D,3,24,19
D,3,20,17
D,15,5,12
D,17,14,4
D,5,11,15
D,16,23,12
D,14,22,13
D,15,7,14
D,15,12,20
D,14,6,18
D,6,17,4
D,4,28,20
D,16,14,4
D,18,11,1
U,25,23,9
U,3,0,16
U,19,2,7
U,16,29,19
U,5,25,8
U,28,2,9
U,28,20,12
U,26,15,15
U,27,0,9
U,22,10,15
U,24,1,5
U,16,2,12
U,9,4,14
U,17,29,5
U,3,2,20
U,29,19,15
U,14,11,11
U,20,5,16
U,7,12,11
U,29,7,10
U,9,13,14
U,18,23,13
U,8,27,14
U,18,8,18
U,26,4,5
U,19,17,4
U,7,14,19
U,27,5,5
U,18,17,13
U,17,18,3
U,18,3,20
U,11,20,4
U,16,20,10
U,24,21,7
U,3,27,4
U,29,11,6
U,21,20,19
U,17,24,19
U,5,8,6
U,8,27,19
U,14,0,9
U,6,24,8
U,15,7,18
U,3,26,14
U,28,11,8
U,22,21,5
U,5,27,14
U,8,0,12
U,0,5,5
U,8,7,14
U,7,16,15
U,17,9,17
U,1,10,11
U,6,7,12
U,4,5,17
U,11,2,3
U,21,22,12
