# tipo,u,v,peso
D,19,14,9
D,3,8,20
D,10,4,1
D,18,3,5
D,16,0,5
D,8,4,15
D,8,1,13
D,1,3,20
D,3,18,4
D,7,9,7
D,4,7,7
D,8,0,10
D,11,12,11
D,19,9,11
D,4,7,1
D,0,7,7
D,1,16,1
D,4,15,18
D,17,19,11
D,16,2,11
D,9,0,3
D,0,16,19
D,15,4,13
D,7,13,19
D,8,11,17
D,13,19,7
D,12,18,10
U,9,8,16
U,19,11,18
U,0,12,9
U,15,9,7
U,15,2,14
U,16,11,16
U,13,18,7
U,16,10,2
U,13,5,15
U,5,15,6
U,4,0,11
U,16,2,2
U,3,17,13
U,5,6,17
U,11,7,10
U,0,10,17
U,17,4,10
U,4,7,14
U,18,11,3
U,3,1,5
U,2,12,13
U,9,13,13
U,9,7,15
U,10,7,4
U,13,2,5
U,2,9,15
U,12,7,5
U,6,5,9
