# tipo,u,v,peso
D,12,5,7
D,10,16,9
D,11,7,9
D,4,6,16
D,3,0,12
D,9,18,9
D,14,10,20
D,18,8,17
D,14,6,10
D,19,13,13
D,14,5,15
D,19,11,8
D,11,8,12
D,19,15,2
D,8,16,7
D,12,8,3
D,14,15,13
D,6,14,9
D,17,7,5
D,10,17,11
D,12,2,12
D,4,18,14
D,14,8,4
D,18,7,8
D,15,5,10
D,15,2,16
D,13,3,11
D,15,14,1
D,7,12,17
D,3,4,12
D,15,5,13
D,18,4,7
D,4,13,2
D,11,9,19
D,4,17,4
D,14,12,19
D,2,1,12
U,16,0,12
U,15,19,20
U,1,2,7
U,12,4,5
U,8,18,12
U,13,12,14
U,9,11,11
U,15,2,8
U,11,18,13
U,2,3,9
U,3,18,7
U,16,14,18
U,19,12,4
U,17,13,10
U,10,19,20
U,0,5,8
U,13,14,13
U,4,12,10
U,5,10,8
U,7,12,10
U,17,6,20
U,7,8,10
U,16,18,4
U,2,11,11
U,5,19,6
U,11,6,19
U,1,7,17
U,5,19,8
U,14,1,12
U,9,5,12
U,7,16,10
U,3,16,1
U,4,8,6
