# tipo,u,v,peso
D,14,11,20
D,15,10,1
D,3,9,4
D,2,16,9
D,13,8,6
D,6,4,5
D,12,11,17
D,12,9,6
D,1,12,14
D,6,19,20
D,14,8,9
D,15,18,6
D,3,13,20
D,19,13,14
D,11,13,17
D,6,15,10
D,0,14,5
D,4,6,12
D,19,11,17
D,4,19,5
D,7,18,19
D,17,5,20
D,8,9,8
D,8,10,5
D,1,16,19
D,1,9,10
D,9,8,18
D,17,10,5
D,18,11,15
D,19,16,3
D,1,2,16
U,4,19,2
U,13,3,7
U,4,16,18
U,10,17,13
U,7,9,1
U,8,10,14
U,1,7,20
U,11,19,13
U,12,9,13
U,1,7,10
U,1,16,16
U,3,12,17
U,0,5,12
U,11,2,18
U,9,10,11
U,4,2,12
U,18,2,17
U,12,1,17
U,13,19,17
U,6,7,13
